Sample,r,alpha,beta,k,Antag_Lag,Collapse_Lag
261,0.009106626489413409,0.008154127120887667,0.002836877252638863,0.024179980721294694,82.5,98.70000000000002
262,0.010042139920237704,0.007760692173410184,0.0027596635272782704,0.019975561463080202,107.4,137.4
263,0.009999266959532509,0.00642285617441337,0.003337231505415779,0.02350227056685021,106.60000000000002,150.3
264,0.010185482785984818,0.008172262280490747,0.0034481406994800036,0.022256475590007454,90.9,121.80000000000001
265,0.009721408380114042,0.007279344555620794,0.0029818880582735178,0.024191263187896408,93.10000000000002,117.9
266,0.010008928208303113,0.008589187805698412,0.003241446072478066,0.022725189807349663,85.10000000000002,108.5
267,0.008787663906148088,0.008034560178575005,0.002764899431191472,0.02057721405078845,97.10000000000002,119.9
268,0.008607479825630095,0.007021287731221683,0.002816677308410391,0.02143791817983887,104.30000000000001,133.0
269,0.0077636516120181765,0.006415216353150181,0.0034389501507624287,0.022795134204813678,100.30000000000001,139.60000000000002
270,0.00868768194733114,0.007904206386059405,0.0027464284990785575,0.026445228675812074,76.5,88.70000000000002
